family,instance,algorithm,seed,cutoff,runtime_sec,cover_size,ref_value,rel_err,solution_file,trace_file
small,small3,LS1,16,2,0.03760866700000065,20,20,0.0,small3_LS1_2_16.sol,small3_LS1_2_16.trace
small,small3,LS1,17,2,0.04055537499999673,20,20,0.0,small3_LS1_2_17.sol,small3_LS1_2_17.trace
small,small3,LS1,18,2,0.04117050000000688,20,20,0.0,small3_LS1_2_18.sol,small3_LS1_2_18.trace
small,small3,LS1,19,2,0.039123458999995364,20,20,0.0,small3_LS1_2_19.sol,small3_LS1_2_19.trace
small,small3,LS1,20,2,0.03830874999999878,20,20,0.0,small3_LS1_2_20.sol,small3_LS1_2_20.trace
small,small3,LS2,1,2,0.038169041999992714,20,20,0.0,small3_LS2_2_1.sol,small3_LS2_2_1.trace
small,small3,LS2,2,2,0.03685687499999801,20,20,0.0,small3_LS2_2_2.sol,small3_LS2_2_2.trace
small,small3,LS2,3,2,0.03777816699999903,20,20,0.0,small3_LS2_2_3.sol,small3_LS2_2_3.trace
small,small3,LS2,4,2,0.03701049999999384,20,20,0.0,small3_LS2_2_4.sol,small3_LS2_2_4.trace
small,small3,LS2,5,2,0.037172499999996944,20,20,0.0,small3_LS2_2_5.sol,small3_LS2_2_5.trace
small,small3,LS2,6,2,0.03701120799999558,20,20,0.0,small3_LS2_2_6.sol,small3_LS2_2_6.trace
small,small3,LS2,7,2,0.03615112499998929,20,20,0.0,small3_LS2_2_7.sol,small3_LS2_2_7.trace
small,small3,LS2,8,2,0.037086208999994597,20,20,0.0,small3_LS2_2_8.sol,small3_LS2_2_8.trace
small,small3,LS2,9,2,0.0371839590000036,20,20,0.0,small3_LS2_2_9.sol,small3_LS2_2_9.trace
small,small3,LS2,10,2,0.03853125000000546,20,20,0.0,small3_LS2_2_10.sol,small3_LS2_2_10.trace
small,small3,LS2,11,2,0.03919720800000448,20,20,0.0,small3_LS2_2_11.sol,small3_LS2_2_11.trace
small,small3,LS2,12,2,0.04901741700000173,20,20,0.0,small3_LS2_2_12.sol,small3_LS2_2_12.trace
small,small3,LS2,13,2,0.03912129199999015,20,20,0.0,small3_LS2_2_13.sol,small3_LS2_2_13.trace
small,small3,LS2,14,2,0.038802750000002106,20,20,0.0,small3_LS2_2_14.sol,small3_LS2_2_14.trace
small,small3,LS2,15,2,0.048089666000009856,20,20,0.0,small3_LS2_2_15.sol,small3_LS2_2_15.trace
small,small3,LS2,16,2,0.04050366699999586,20,20,0.0,small3_LS2_2_16.sol,small3_LS2_2_16.trace
small,small3,LS2,17,2,0.03763879200000986,20,20,0.0,small3_LS2_2_17.sol,small3_LS2_2_17.trace
small,small3,LS2,18,2,0.037553416999998035,20,20,0.0,small3_LS2_2_18.sol,small3_LS2_2_18.trace
small,small3,LS2,19,2,0.03810104200000808,20,20,0.0,small3_LS2_2_19.sol,small3_LS2_2_19.trace
small,small3,LS2,20,2,0.03788641600000631,20,20,0.0,small3_LS2_2_20.sol,small3_LS2_2_20.trace
small,small4,Approx,1,2,0.030132957999995824,22,20,0.1,small4_Approx_2.sol,
small,small4,BnB,1,2,0.03800329199999908,20,20,0.0,small4_BnB_2.sol,small4_BnB_2.trace
small,small4,LS1,1,2,0.03704254200000889,20,20,0.0,small4_LS1_2_1.sol,small4_LS1_2_1.trace
small,small4,LS1,2,2,0.03586462500000209,20,20,0.0,small4_LS1_2_2.sol,small4_LS1_2_2.trace
small,small4,LS1,3,2,0.03704600000000369,20,20,0.0,small4_LS1_2_3.sol,small4_LS1_2_3.trace
small,small4,LS1,4,2,0.037393665999999826,20,20,0.0,small4_LS1_2_4.sol,small4_LS1_2_4.trace
small,small4,LS1,5,2,0.03200883299999191,20,20,0.0,small4_LS1_2_5.sol,small4_LS1_2_5.trace
small,small4,LS1,6,2,0.032419208000007416,20,20,0.0,small4_LS1_2_6.sol,small4_LS1_2_6.trace
small,small4,LS1,7,2,0.0379032500000136,20,20,0.0,small4_LS1_2_7.sol,small4_LS1_2_7.trace
small,small4,LS1,8,2,0.03569758400000467,20,20,0.0,small4_LS1_2_8.sol,small4_LS1_2_8.trace
small,small4,LS1,9,2,0.03547612500000241,20,20,0.0,small4_LS1_2_9.sol,small4_LS1_2_9.trace
small,small4,LS1,10,2,0.037954708999990316,20,20,0.0,small4_LS1_2_10.sol,small4_LS1_2_10.trace
small,small4,LS1,11,2,0.03683054099998628,20,20,0.0,small4_LS1_2_11.sol,small4_LS1_2_11.trace
small,small4,LS1,12,2,0.03715354100000923,20,20,0.0,small4_LS1_2_12.sol,small4_LS1_2_12.trace
small,small4,LS1,13,2,0.036647666999996886,20,20,0.0,small4_LS1_2_13.sol,small4_LS1_2_13.trace
small,small4,LS1,14,2,0.03819245900000112,20,20,0.0,small4_LS1_2_14.sol,small4_LS1_2_14.trace
small,small4,LS1,15,2,0.03827141700000425,20,20,0.0,small4_LS1_2_15.sol,small4_LS1_2_15.trace
small,small4,LS1,16,2,0.03670829200000014,20,20,0.0,small4_LS1_2_16.sol,small4_LS1_2_16.trace
small,small4,LS1,17,2,0.03619508299999552,20,20,0.0,small4_LS1_2_17.sol,small4_LS1_2_17.trace
small,small4,LS1,18,2,0.03552274999999838,20,20,0.0,small4_LS1_2_18.sol,small4_LS1_2_18.trace
small,small4,LS1,19,2,0.035249917000001574,20,20,0.0,small4_LS1_2_19.sol,small4_LS1_2_19.trace
small,small4,LS1,20,2,0.03677999999999315,20,20,0.0,small4_LS1_2_20.sol,small4_LS1_2_20.trace
small,small4,LS2,1,2,0.035462124999995126,20,20,0.0,small4_LS2_2_1.sol,small4_LS2_2_1.trace
small,small4,LS2,2,2,0.06959487500000705,20,20,0.0,small4_LS2_2_2.sol,small4_LS2_2_2.trace
small,small4,LS2,3,2,0.06979550000001211,20,20,0.0,small4_LS2_2_3.sol,small4_LS2_2_3.trace
small,small4,LS2,4,2,0.07043554199999846,20,20,0.0,small4_LS2_2_4.sol,small4_LS2_2_4.trace
small,small4,LS2,5,2,0.04340575000000513,20,20,0.0,small4_LS2_2_5.sol,small4_LS2_2_5.trace
small,small4,LS2,6,2,0.040845167000000515,20,20,0.0,small4_LS2_2_6.sol,small4_LS2_2_6.trace
small,small4,LS2,7,2,0.03622937500000489,20,20,0.0,small4_LS2_2_7.sol,small4_LS2_2_7.trace
small,small4,LS2,8,2,0.03713370799999893,20,20,0.0,small4_LS2_2_8.sol,small4_LS2_2_8.trace
small,small4,LS2,9,2,0.0384388749999971,20,20,0.0,small4_LS2_2_9.sol,small4_LS2_2_9.trace
small,small4,LS2,10,2,0.039107874999999126,20,20,0.0,small4_LS2_2_10.sol,small4_LS2_2_10.trace
small,small4,LS2,11,2,0.038226582999996594,20,20,0.0,small4_LS2_2_11.sol,small4_LS2_2_11.trace
small,small4,LS2,12,2,0.03740141599999447,20,20,0.0,small4_LS2_2_12.sol,small4_LS2_2_12.trace
small,small4,LS2,13,2,0.03879012500000556,20,20,0.0,small4_LS2_2_13.sol,small4_LS2_2_13.trace
small,small4,LS2,14,2,0.03861587500000496,20,20,0.0,small4_LS2_2_14.sol,small4_LS2_2_14.trace
